Category,Type,Subtype,Date,Month,Year,Institute,Title,abbr.,Paper_link,Abstract,code,Publication,BibTex,Authors,_tasks
Method,Computer Vision,,2011-07-18,7,2011,,Arithmetic and Frequency Filtering Methods of Pixel-Based Image Fusion Techniques,,http://arxiv.org/abs/1107.3348v2,"In remote sensing, image fusion technique is a useful tool used to fuse high spatial resolution panchromatic images (PAN) with lower spatial resolution multispectral images (MS) to create a high spatial resolution multispectral of image fusion (F) while preserving the spectral information in the multispectral image (MS).There are many PAN sharpening techniques or Pixel-Based image fusion techniques that have been developed to try to enhance the spatial resolution and the spectral property preservation of the MS. This paper attempts to undertake the study of image fusion, by using two types of pixel-based image fusion techniques i.e. Arithmetic Combination and Frequency Filtering Methods of Pixel-Based Image Fusion Techniques. The first type includes Brovey Transform (BT), Color Normalized Transformation (CN) and Multiplicative Method (MLT). The second type include High-Pass Filter Additive Method (HPFA), High-Frequency-Addition Method (HFA) High Frequency Modulation Method (HFM) and The Wavelet transform-based fusion method (WT). This paper also devotes to concentrate on the analytical techniques for evaluating the quality of image fusion (F) by using various methods including Standard Deviation (SD), Entropy(En), Correlation Coefficient (CC), Signal-to Noise Ratio (SNR), Normalization Root Mean Square Error (NRMSE) and Deviation Index (DI) to estimate the quality and degree of information improvement of a fused image quantitatively.",,"Image Fusion, Pixel-Based Fusion, Brovey Transform, Color Normalized, High-Pass Filter, Modulation, Wavelet transform","@article{alwassai2011arithmetic,
  title={Arithmetic and Frequency Filtering Methods of Pixel-Based Image Fusion Techniques},
  author={Firouz Abdullah Al-Wassai and N. V. Kalyankar and Ali A. Al-Zuky},
  journal={arXiv preprint arXiv:1107.3348v2},
  year={2011},
  url={http://arxiv.org/abs/1107.3348v2}
}","Firouz Abdullah Al-Wassai, N. V. Kalyankar, Ali A. Al-Zuky",
Method,Geophysics,Atmospheric and Oceanic Physics,2014-12-01,12,2014,,Ecuador's mangrove forest carbon stocks: A spatiotemporal analysis of living carbon holdings and their depletion since the advent of commercial aquaculture,,http://arxiv.org/abs/1412.0517v2,"In this paper we estimate the living carbon lost from Ecuador's mangrove forests since the advent of export-focused shrimp aquaculture. We use remote sensing techniques to delineate the extent of mangroves and aquaculture at approximately decadal periods since the arrival of aquaculture in each Ecuadorian estuary. We then spatiotemporally calculate the carbon values of the mangrove forests and estimate the amount of carbon lost due to direct displacement by aquaculture. Additionally, we calculate the new carbon stocks generated due to mangrove reforestation or afforestation. This research introduces time and land use / land cover change (LUCC) into the tropical forest carbon literature and examines forest carbon loss at a higher spatiotemporal resolution than in many earlier analyses. We find that 80%, or 7,014,517 t of the living carbon lost in Ecuadorian mangrove forests can be attributed to direct displacement of mangrove forests by shrimp aquaculture. We also find that Intergovernmental Panel on Climate Change (IPCC) compliant carbon grids within Ecuador's estuaries overestimate living carbon levels in estuaries where substantial LUCC has occurred. By approaching the mangrove forest carbon loss question from a LUCC perspective, these findings allow for tropical nations and other intervention agents to prioritize and target a limited set of land transitions that likely drive the majority of carbon losses. This singular cause of transition has implications for programs that attempt to offset or limit future forest carbon losses and place value on forest carbon or other forest good and services.",,"26 pages, 3 figures","@article{hamilton2014ecuadors,
  title={Ecuador's mangrove forest carbon stocks: A spatiotemporal analysis of living carbon holdings and their depletion since the advent of commercial aquaculture},
  author={Stuart Hamilton and John Lovette},
  journal={arXiv preprint arXiv:1412.0517v2},
  year={2014},
  url={http://arxiv.org/abs/1412.0517v2}
}","Stuart Hamilton, John Lovette",
Method,q-bio.PE,stat.AP; stat.CO,2016-12-13,12,2016,,Spatio-temporal data mining in ecological and veterinary epidemiology,,http://arxiv.org/abs/1612.04074v1,"Understanding the spread of any disease is a highly complex and interdisciplinary exercise as biological, social, geographic, economic, and medical factors may shape the way a disease moves through a population and options for its eventual control or eradication. Disease spread poses a serious threat in animal and plant health and has implications for ecosystem functioning and species extinctions as well as implications in society through food security and potential disease spread in humans. Space-time epidemiology is based on the concept that various characteristics of the pathogenic agents and the environment interact in order to alter the probability of disease occurrence and form temporal or spatial patterns. Epidemiology aims to identify these patterns and factors, to assess the relevant uncertainty sources, and to describe disease in the population. Thus disease spread at the population level differs from the approach traditionally taken by veterinary practitioners that are principally concerned with the health status of the individual. Patterns of disease occurrence provide insights into which factors may be affecting the health of the population, through investigating which individuals are affected, where are these individuals located and when did they become infected. With the rapid development of smart sensors, social networks, as well as digital maps and remotely-sensed imagery spatio-temporal data are more ubiquitous and richer than ever before. The availability of such large datasets (Big data) poses great challenges in data analysis. In addition, increased availability of computing power facilitates the use of computationally-intensive methods for the analysis of such data. Thus new methods as well as case studies are needed to understand veterinary and ecological epidemiology. A special issue aimed to address this topic.",,,"@article{moustakas2016spatiotemporal,
  title={Spatio-temporal data mining in ecological and veterinary epidemiology},
  author={Aristides Moustakas},
  journal={arXiv preprint arXiv:1612.04074v1},
  year={2016},
  url={http://arxiv.org/abs/1612.04074v1}
}",Aristides Moustakas,
Method,cs.MA,,2018-11-13,11,2018,,Distributed Cooperative Spectrum Sharing in UAV Networks Using Multi-Agent Reinforcement Learning,,http://arxiv.org/abs/1811.05053v1,"In this paper, we develop a distributed mechanism for spectrum sharing among a network of unmanned aerial vehicles (UAV) and licensed terrestrial networks. This method can provide a practical solution for situations where the UAV network may need external spectrum when dealing with congested spectrum or need to change its operating frequency due to security threats. Here we study a scenario where the UAV network performs a remote sensing mission. In this model, the UAVs are categorized into two clusters of relaying and sensing UAVs. The relay UAVs provide a relaying service for a licensed network to obtain spectrum access for the rest of UAVs that perform the sensing task. We develop a distributed mechanism in which the UAVs locally decide whether they need to participate in relaying or sensing considering the fact that communications among UAVs may not be feasible or reliable. The UAVs learn the optimal task allocation using a distributed reinforcement learning algorithm. Convergence of the algorithm is discussed and simulation results are presented for different scenarios to verify the convergence.",,"16 Pages, 8 Figures","@article{shamsoshoara2018distributed,
  title={Distributed Cooperative Spectrum Sharing in UAV Networks Using Multi-Agent Reinforcement Learning},
  author={Alireza Shamsoshoara and Mehrdad Khaledi and Fatemeh Afghah and Abolfazl Razi and Jonathan Ashdown},
  journal={arXiv preprint arXiv:1811.05053v1},
  year={2018},
  url={http://arxiv.org/abs/1811.05053v1}
}","Alireza Shamsoshoara, Mehrdad Khaledi, Fatemeh Afghah, Abolfazl Razi, Jonathan Ashdown",
Method,physics.app-ph,cond-mat.mes-hall; q-bio.QM,2019-10-21,10,2019,,"Rapid, Quantitative Therapeutic Screening for Alzheimer's Enzymes Enabled by Optimal Signal Transduction with Transistors",,http://arxiv.org/abs/1910.09509v1,"We show that simple, commercially sourced n-channel silicon field-effect transistors (nFETs) operating under closed loop control exhibit an ~3-fold improvement in pH readout resolution to (7.2+/-0.3)x10^-3 at a bandwidth of 10 Hz when compared with the open loop operation commonly employed by integrated ion-sensitive field-effect transistors (ISFETs). We leveraged the improved nFET performance to measure the change in solution pH arising from the activity of a pathological form of the kinase Cdk5, an enzyme implicated in Alzheimer's disease, and showed quantitative agreement with previous measurements. The improved pH resolution was realized while the devices were operated in a remote sensing configuration with the pH sensing element off-chip and connected electrically to the FET gate terminal. We compared these results with those measured by using a custom-built dual-gate 2D field-effect transistor (dg2DFET) fabricated with 2D semi-conducting MoS2 channels and a moderate device gain, alpha=8. Under identical solution conditions the pH resolution of the nFETs was only 2-fold worse than the dg2DFETs pH resolution of (3.9+/-0.7)x10^-3. Finally, using the nFETs, we demonstrated the effectiveness of a custom polypeptide, p5, as a therapeutic agent in restoring the function of Cdk5. We expect that the straight-forward modifications to commercially sourced nFETs demonstrated here will lower the barrier to widespread adoption of these remote-gate devices and enable sensitive bioanalytical measurements for high throughput screening in drug discovery and precision medicine applications.",,,"@article{le2019rapid,
  title={Rapid, Quantitative Therapeutic Screening for Alzheimer's Enzymes Enabled by Optimal Signal Transduction with Transistors},
  author={Son T. Le and Michelle A. Morris and Antonio Cardone and Nicholas B. Guros and Jeffery B. Klauda and Brent A. Sperling and Curt A. Richter and Harish C. Pant and Arvind Balijepalli},
  journal={arXiv preprint arXiv:1910.09509v1},
  year={2019},
  url={http://arxiv.org/abs/1910.09509v1}
}","Son T. Le, Michelle A. Morris, Antonio Cardone, Nicholas B. Guros, Jeffery B. Klauda, Brent A. Sperling, Curt A. Richter, Harish C. Pant, Arvind Balijepalli",
Method,Machine Learning,Artificial Intelligence,2019-11-12,11,2019,,Schedule Earth Observation satellites with Deep Reinforcement Learning,,http://arxiv.org/abs/1911.05696v1,"Optical Earth observation satellites acquire images worldwide , covering up to several million square kilometers every day. The complexity of scheduling acquisitions for such systems increases exponentially when considering the interoperabil-ity of several satellite constellations together with the uncertainties from weather forecasts. In order to deliver valid images to customers as fast as possible, it is crucial to acquire cloud-free images. Depending on weather forecasts, up to 50% of images acquired by operational satellites can be trashed due to excessive cloud covers, showing there is room for improvement. We propose an acquisition scheduling approach based on Deep Reinforcement Learning and experiment on a simplified environment. We find that it challenges classical methods relying on human-expert heuristic.",,,"@article{hadjsalah2019schedule,
  title={Schedule Earth Observation satellites with Deep Reinforcement Learning},
  author={Adrien Hadj-Salah and Rémi Verdier and Clément Caron and Mathieu Picard and Mikaël Capelle},
  journal={arXiv preprint arXiv:1911.05696v1},
  year={2019},
  url={http://arxiv.org/abs/1911.05696v1}
}","Adrien Hadj-Salah, Rémi Verdier, Clément Caron, Mathieu Picard, Mikaël Capelle",
Method,eess.SY,Artificial Intelligence; Machine Learning,2019-11-16,11,2019,,Six Degree-of-Freedom Body-Fixed Hovering over Unmapped Asteroids via LIDAR Altimetry and Reinforcement Meta-Learning,,http://arxiv.org/abs/1911.08553v2,"We optimize a six degrees of freedom hovering policy using reinforcement meta-learning. The policy maps flash LIDAR measurements directly to on/off spacecraft body-frame thrust commands, allowing hovering at a fixed position and attitude in the asteroid body-fixed reference frame. Importantly, the policy does not require position and velocity estimates, and can operate in environments with unknown dynamics, and without an asteroid shape model or navigation aids. Indeed, during optimization the agent is confronted with a new randomly generated asteroid for each episode, insuring that it does not learn an asteroid's shape, texture, or environmental dynamics. This allows the deployed policy to generalize well to novel asteroid characteristics, which we demonstrate in our experiments. Moreover, our experiments show that the optimized policy adapts to actuator failure and sensor noise. Although the policy is optimized using randomly generated synthetic asteroids, it is tested on two shape models from actual asteroids: Bennu and Itokawa. We find that the policy generalizes well to these shape models. The hovering controller has the potential to simplify mission planning by allowing asteroid body-fixed hovering immediately upon the spacecraft's arrival to an asteroid. This in turn simplifies shape model generation and allows resource mapping via remote sensing immediately upon arrival at the target asteroid.",,"Earlier version presented at 2020 AIAA Scitech conference. arXiv admin note: substantial text overlap with arXiv:1907.06098, arXiv:1906.02113","@article{gaudet2019six,
  title={Six Degree-of-Freedom Body-Fixed Hovering over Unmapped Asteroids via LIDAR Altimetry and Reinforcement Meta-Learning},
  author={Brian Gaudet and Richard Linares and Roberto Furfaro},
  journal={arXiv preprint arXiv:1911.08553v2},
  year={2019},
  url={http://arxiv.org/abs/1911.08553v2}
}","Brian Gaudet, Richard Linares, Roberto Furfaro",
Method,Computer Vision,,2019-12-09,12,2019,,Efficient Object Detection in Large Images using Deep Reinforcement Learning,,http://arxiv.org/abs/1912.03966v2,"Traditionally, an object detector is applied to every part of the scene of interest, and its accuracy and computational cost increases with higher resolution images. However, in some application domains such as remote sensing, purchasing high spatial resolution images is expensive. To reduce the large computational and monetary cost associated with using high spatial resolution images, we propose a reinforcement learning agent that adaptively selects the spatial resolution of each image that is provided to the detector. In particular, we train the agent in a dual reward setting to choose low spatial resolution images to be run through a coarse level detector when the image is dominated by large objects, and high spatial resolution images to be run through a fine level detector when it is dominated by small objects. This reduces the dependency on high spatial resolution images for building a robust detector and increases run-time efficiency. We perform experiments on the xView dataset, consisting of large images, where we increase run-time efficiency by 50% and use high resolution images only 30% of the time while maintaining similar accuracy as a detector that uses only high resolution images.",,WACV 2020,"@article{uzkent2019efficient,
  title={Efficient Object Detection in Large Images using Deep Reinforcement Learning},
  author={Burak Uzkent and Christopher Yeh and Stefano Ermon},
  journal={arXiv preprint arXiv:1912.03966v2},
  year={2019},
  url={http://arxiv.org/abs/1912.03966v2}
}","Burak Uzkent, Christopher Yeh, Stefano Ermon",OD
Method,Artificial Intelligence,eess.SY,2020-08-15,8,2020,,A Maximum Independent Set Method for Scheduling Earth Observing Satellite Constellations,,http://arxiv.org/abs/2008.08446v1,"Operating Earth observing satellites requires efficient planning methods that coordinate activities of multiple spacecraft. The satellite task planning problem entails selecting actions that best satisfy mission objectives for autonomous execution. Task scheduling is often performed by human operators assisted by heuristic or rule-based planning tools. This approach does not efficiently scale to multiple assets as heuristics frequently fail to properly coordinate actions of multiple vehicles over long horizons. Additionally, the problem becomes more difficult to solve for large constellations as the complexity of the problem scales exponentially in the number of requested observations and linearly in the number of spacecraft. It is expected that new commercial optical and radar imaging constellations will require automated planning methods to meet stated responsiveness and throughput objectives. This paper introduces a new approach for solving the satellite scheduling problem by generating an infeasibility-based graph representation of the problem and finding a maximal independent set of vertices for the graph. The approach is tested on a scenarios of up to 10,000 requested imaging locations for the Skysat constellation of optical satellites as well as simulated constellations of up to 24 satellites. Performance is compared with contemporary graph-traversal and mixed-integer linear programming approaches. Empirical results demonstrate improvements in both the solution time along with the number of scheduled collections beyond baseline methods. For large problems, the maximum independent set approach is able find a feasible schedule with 8% more collections in 75% less time.",,,"@article{eddy2020a,
  title={A Maximum Independent Set Method for Scheduling Earth Observing Satellite Constellations},
  author={Duncan Eddy and Mykel J. Kochenderfer},
  journal={arXiv preprint arXiv:2008.08446v1},
  year={2020},
  url={http://arxiv.org/abs/2008.08446v1}
}","Duncan Eddy, Mykel J. Kochenderfer",
Method,Computer Vision,Artificial Intelligence,2020-10-05,10,2020,,A Novel Actor Dual-Critic Model for Remote Sensing Image Captioning,,http://arxiv.org/abs/2010.01999v1,"We deal with the problem of generating textual captions from optical remote sensing (RS) images using the notion of deep reinforcement learning. Due to the high inter-class similarity in reference sentences describing remote sensing data, jointly encoding the sentences and images encourages prediction of captions that are semantically more precise than the ground truth in many cases. To this end, we introduce an Actor Dual-Critic training strategy where a second critic model is deployed in the form of an encoder-decoder RNN to encode the latent information corresponding to the original and generated captions. While all actor-critic methods use an actor to predict sentences for an image and a critic to provide rewards, our proposed encoder-decoder RNN guarantees high-level comprehension of images by sentence-to-image translation. We observe that the proposed model generates sentences on the test data highly similar to the ground truth and is successful in generating even better captions in many critical cases. Extensive experiments on the benchmark Remote Sensing Image Captioning Dataset (RSICD) and the UCM-captions dataset confirm the superiority of the proposed approach in comparison to the previous state-of-the-art where we obtain a gain of sharp increments in both the ROUGE-L and CIDEr measures.",,the International Conference on Pattern Recognition (ICPR) 2020,"@article{chavhan2020a,
  title={A Novel Actor Dual-Critic Model for Remote Sensing Image Captioning},
  author={Ruchika Chavhan and Biplab Banerjee and Xiao Xiang Zhu and Subhasis Chaudhuri},
  journal={arXiv preprint arXiv:2010.01999v1},
  year={2020},
  url={http://arxiv.org/abs/2010.01999v1}
}","Ruchika Chavhan, Biplab Banerjee, Xiao Xiang Zhu, Subhasis Chaudhuri",IC
