Category,Type,Subtype,Date,Month,Year,Institute,Title,abbr.,Paper_link,Abstract,code,Publication,BibTex,Authors,_tasks
Method,Robotics,eess.SY,2016-12-18,12,2016,,Optimal Control-Based UAV Path Planning with Dynamically-Constrained TSP with Neighborhoods,,http://arxiv.org/abs/1612.06008v1,"This paper addresses path planning of an unmanned aerial vehicle (UAV) with remote sensing capabilities (or wireless communication capabilities). The goal of the path planning is to find a minimum-flight-time closed tour of the UAV visiting all executable areas of given remote sensing and communication tasks; in order to incorporate the nonlinear vehicle dynamics, this problem is regarded as a dynamically-constrained traveling salesman problem with neighborhoods. To obtain a close-to-optimal solution for the path planning in a tractable manner, a sampling-based roadmap algorithm that embeds an optimal control-based path generation process is proposed. The algorithm improves the computational efficiency by reducing numerical computations required for optimizing inefficient local paths, and by extracting additional information from a roadmap of a fixed number of samples. Comparative numerical simulations validate the efficiency of the presented algorithm in reducing computation time and improving the solution quality compared to previous roadmap-based planning methods.",,"17 pages, 7 figures","@article{jang2016optimal,
  title={Optimal Control-Based UAV Path Planning with Dynamically-Constrained TSP with Neighborhoods},
  author={Dae-Sung Jang and Hyeok-Joo Chae and Han-Lim Choi},
  journal={arXiv preprint arXiv:1612.06008v1},
  year={2016},
  url={http://arxiv.org/abs/1612.06008v1}
}","Dae-Sung Jang, Hyeok-Joo Chae, Han-Lim Choi",
Method,Computer Vision,,2017-01-16,1,2017,,Automatic Spatial Context-Sensitive Cloud/Cloud-Shadow Detection in Multi-Source Multi-Spectral Earth Observation Images: AutoCloud+,,http://arxiv.org/abs/1701.04256v1,"The proposed Earth observation (EO) based value adding system (EO VAS), hereafter identified as AutoCloud+, consists of an innovative EO image understanding system (EO IUS) design and implementation capable of automatic spatial context sensitive cloud/cloud shadow detection in multi source multi spectral (MS) EO imagery, whether or not radiometrically calibrated, acquired by multiple platforms, either spaceborne or airborne, including unmanned aerial vehicles (UAVs). It is worth mentioning that the same EO IUS architecture is suitable for a large variety of EO based value adding products and services, including: (i) low level image enhancement applications, such as automatic MS image topographic correction, co registration, mosaicking and compositing, (ii) high level MS image land cover (LC) and LC change (LCC) classification and (iii) content based image storage/retrieval in massive multi source EO image databases (big data mining).",,"Invitation to tender ESA/AO/1 8373/15/I NB, VAE: Next Generation EO based Information Services","@article{baraldi2017automatic,
  title={Automatic Spatial Context-Sensitive Cloud/Cloud-Shadow Detection in Multi-Source Multi-Spectral Earth Observation Images: AutoCloud+},
  author={Andrea Baraldi},
  journal={arXiv preprint arXiv:1701.04256v1},
  year={2017},
  url={http://arxiv.org/abs/1701.04256v1}
}",Andrea Baraldi,CLS;SR
Method,Computer Vision,,2017-09-06,9,2017,,Towards Automated Cadastral Boundary Delineation from UAV Data,,http://arxiv.org/abs/1709.01813v1,"Unmanned aerial vehicles (UAV) are evolving as an alternative tool to acquire land tenure data. UAVs can capture geospatial data at high quality and resolution in a cost-effective, transparent and flexible manner, from which visible land parcel boundaries, i.e., cadastral boundaries are delineable. This delineation is to no extent automated, even though physical objects automatically retrievable through image analysis methods mark a large portion of cadastral boundaries. This study proposes (i) a workflow that automatically extracts candidate cadastral boundaries from UAV orthoimages and (ii) a tool for their semi-automatic processing to delineate final cadastral boundaries. The workflow consists of two state-of-the-art computer vision methods, namely gPb contour detection and SLIC superpixels that are transferred to remote sensing in this study. The tool combines the two methods, allows a semi-automatic final delineation and is implemented as a publicly available QGIS plugin. The approach does not yet aim to provide a comparable alternative to manual cadastral mapping procedures. However, the methodological development of the tool towards this goal is developed in this paper. A study with 13 volunteers investigates the design and implementation of the approach and gathers initial qualitative as well as quantitate results. The study revealed points for improvement, which are prioritized based on the study results and which will be addressed in future work.",,Report on current state (August 2017) of PhD work of first author. Further info: https://its4land.com/automate-it-wp5/,"@article{crommelinck2017towards,
  title={Towards Automated Cadastral Boundary Delineation from UAV Data},
  author={Sophie Crommelinck and Michael Ying Yang and Mila Koeva and Markus Gerke and Rohan Bennett and George Vosselman},
  journal={arXiv preprint arXiv:1709.01813v1},
  year={2017},
  url={http://arxiv.org/abs/1709.01813v1}
}","Sophie Crommelinck, Michael Ying Yang, Mila Koeva, Markus Gerke, Rohan Bennett, George Vosselman",
Method,eess.SY,,2017-10-07,10,2017,,Rudder Augmented Trajectory Correction for Small UAV to Minimize Lateral Image Errors,,http://arxiv.org/abs/1710.02702v1,"Civil applications for unmanned aerial vehicles (UAVs) have increased rapidly over the last few years. In the realm of civil applications, many aircraft carry cameras that are physically fixed to the airframe. While this yields a simple and robust remote sensing platform, the imagery quality diminishes with increasing attitude errors. A rudder augmented trajectory correction method for small unmanned aerial vehicles is discussed in this paper. The goal of this type of controller is to minimize the lateral image errors of body fixed non-gimbaled cameras. We present a comparison to current aileron only trajectory correction autopilots. Simulation and flight test results are presented that show significant reduction in the roll angle present during trajectory correction resulting in a large effect on total flight line image deviations.",,,"@article{fisher2017rudder,
  title={Rudder Augmented Trajectory Correction for Small UAV to Minimize Lateral Image Errors},
  author={Thomas Fisher and Rajnikant Sharma},
  journal={arXiv preprint arXiv:1710.02702v1},
  year={2017},
  url={http://arxiv.org/abs/1710.02702v1}
}","Thomas Fisher, Rajnikant Sharma",
Method,Computer Vision,,2018-03-22,3,2018,,Aligning Across Large Gaps in Time,,http://arxiv.org/abs/1803.08542v1,"We present a method of temporally-invariant image registration for outdoor scenes, with invariance across time of day, across seasonal variations, and across decade-long periods, for low- and high-texture scenes. Our method can be useful for applications in remote sensing, GPS-denied UAV localization, 3D reconstruction, and many others. Our method leverages a recently proposed approach to image registration, where fully-convolutional neural networks are used to create feature maps which can be registered using the Inverse-Composition Lucas-Kanade algorithm (ICLK). We show that invariance that is learned from satellite imagery can be transferable to time-lapse data captured by webcams mounted on buildings near ground-level.",,"15 pages, 10 figures","@article{goforth2018aligning,
  title={Aligning Across Large Gaps in Time},
  author={Hunter Goforth and Simon Lucey},
  journal={arXiv preprint arXiv:1803.08542v1},
  year={2018},
  url={http://arxiv.org/abs/1803.08542v1}
}","Hunter Goforth, Simon Lucey",3D
Survey,Robotics,,2018-04-19,4,2018,,Unmanned Aerial Vehicles: A Survey on Civil Applications and Key Research Challenges,,http://arxiv.org/abs/1805.00881v1,"The use of unmanned aerial vehicles (UAVs) is growing rapidly across many civil application domains including real-time monitoring, providing wireless coverage, remote sensing, search and rescue, delivery of goods, security and surveillance, precision agriculture, and civil infrastructure inspection. Smart UAVs are the next big revolution in UAV technology promising to provide new opportunities in different applications, especially in civil infrastructure in terms of reduced risks and lower cost. Civil infrastructure is expected to dominate the more that $45 Billion market value of UAV usage. In this survey, we present UAV civil applications and their challenges. We also discuss current research trends and provide future insights for potential UAV uses. Furthermore, we present the key challenges for UAV civil applications, including: charging challenges, collision avoidance and swarming challenges, and networking and security related challenges. Based on our review of the recent literature, we discuss open research challenges and draw high-level insights on how these challenges might be approached.",,"arXiv admin note: text overlap with arXiv:1602.03602, arXiv:1704.04813 by other authors","@article{shakhatreh2018unmanned,
  title={Unmanned Aerial Vehicles: A Survey on Civil Applications and Key Research Challenges},
  author={Hazim Shakhatreh and Ahmad Sawalmeh and Ala Al-Fuqaha and Zuochao Dou and Eyad Almaita and Issa Khalil and Noor Shamsiah Othman and Abdallah Khreishah and Mohsen Guizani},
  journal={arXiv preprint arXiv:1805.00881v1},
  year={2018},
  url={http://arxiv.org/abs/1805.00881v1}
}","Hazim Shakhatreh, Ahmad Sawalmeh, Ala Al-Fuqaha, Zuochao Dou, Eyad Almaita, Issa Khalil, Noor Shamsiah Othman, Abdallah Khreishah, Mohsen Guizani",
Method,Image and Video Processing,,2018-04-25,4,2018,,An initial exploration of vicarious and in-scene calibration techniques for small unmanned aircraft systems,,http://arxiv.org/abs/1804.09585v1,"The use of small unmanned aircraft systems (sUAS) for applications in the field of precision agriculture has demonstrated the need to produce temporally consistent imagery to allow for quantitative comparisons. In order for these aerial images to be used to identify actual changes on the ground, conversion of raw digital count to reflectance, or to an atmospherically normalized space, needs to be carried out. This paper will describe an experiment that compares the use of reflectance calibration panels, for use with the empirical line method (ELM), against a newly proposed ratio of the target radiance and the downwelling radiance, to predict the reflectance of known targets in the scene. We propose that the use of an on-board downwelling light sensor (DLS) may provide the sUAS remote sensing practitioner with an approach that does not require the expensive and time consuming task of placing known reflectance standards in the scene. Three calibration methods were tested in this study: 2-Point ELM, 1-Point ELM, and At-altitude Radiance Ratio (AARR). Our study indicates that the traditional 2-Point ELM produces the lowest mean error in band effective reflectance factor, 0.0165. The 1-Point ELM and AARR produce mean errors of 0.0343 and 0.0287 respectively. A modeling of the proposed AARR approach indicates that the technique has the potential to perform better than the 2-Point ELM method, with a 0.0026 mean error in band effective reflectance factor, indicating that this newly proposed technique may prove to be a viable alternative with suitable on-board sensors.",,,"@article{mamaghani2018an,
  title={An initial exploration of vicarious and in-scene calibration techniques for small unmanned aircraft systems},
  author={Baabak Mamaghani and Geoffrey Sasaki and Ryan Connal and Kevin Kha and Jackson Knappen and Ryan Hartzell and Evan Marcellus and Timothy Bauch and Nina Raqueno and Carl Salvaggio},
  journal={arXiv preprint arXiv:1804.09585v1},
  year={2018},
  url={http://arxiv.org/abs/1804.09585v1}
}","Baabak Mamaghani, Geoffrey Sasaki, Ryan Connal, Kevin Kha, Jackson Knappen, Ryan Hartzell, Evan Marcellus, Timothy Bauch, Nina Raqueno, Carl Salvaggio",
Method,Computer Vision,Machine Learning; Machine Learning (Statistics),2018-04-27,4,2018,,Automatic classification of trees using a UAV onboard camera and deep learning,,http://arxiv.org/abs/1804.10390v1,"Automatic classification of trees using remotely sensed data has been a dream of many scientists and land use managers. Recently, Unmanned aerial vehicles (UAV) has been expected to be an easy-to-use, cost-effective tool for remote sensing of forests, and deep learning has attracted attention for its ability concerning machine vision. In this study, using a commercially available UAV and a publicly available package for deep learning, we constructed a machine vision system for the automatic classification of trees. In our method, we segmented a UAV photography image of forest into individual tree crowns and carried out object-based deep learning. As a result, the system was able to classify 7 tree types at 89.0% accuracy. This performance is notable because we only used basic RGB images from a standard UAV. In contrast, most of previous studies used expensive hardware such as multispectral imagers to improve the performance. This result means that our method has the potential to classify individual trees in a cost-effective manner. This can be a usable tool for many forest researchers and managements.",,"9 pages, 3 figures","@article{onishi2018automatic,
  title={Automatic classification of trees using a UAV onboard camera and deep learning},
  author={Masanori Onishi and Takeshi Ise},
  journal={arXiv preprint arXiv:1804.10390v1},
  year={2018},
  url={http://arxiv.org/abs/1804.10390v1}
}","Masanori Onishi, Takeshi Ise",CLS
Method,Computer Vision,,2018-05-26,5,2018,,Vehicle Instance Segmentation from Aerial Image and Video Using a Multi-Task Learning Residual Fully Convolutional Network,,http://arxiv.org/abs/1805.10485v1,"Object detection and semantic segmentation are two main themes in object retrieval from high-resolution remote sensing images, which have recently achieved remarkable performance by surfing the wave of deep learning and, more notably, convolutional neural networks (CNNs). In this paper, we are interested in a novel, more challenging problem of vehicle instance segmentation, which entails identifying, at a pixel-level, where the vehicles appear as well as associating each pixel with a physical instance of a vehicle. In contrast, vehicle detection and semantic segmentation each only concern one of the two. We propose to tackle this problem with a semantic boundary-aware multi-task learning network. More specifically, we utilize the philosophy of residual learning (ResNet) to construct a fully convolutional network that is capable of harnessing multi-level contextual feature representations learned from different residual blocks. We theoretically analyze and discuss why residual networks can produce better probability maps for pixel-wise segmentation tasks. Then, based on this network architecture, we propose a unified multi-task learning network that can simultaneously learn two complementary tasks, namely, segmenting vehicle regions and detecting semantic boundaries. The latter subproblem is helpful for differentiating closely spaced vehicles, which are usually not correctly separated into instances. Currently, datasets with pixel-wise annotation for vehicle extraction are ISPRS dataset and IEEE GRSS DFC2015 dataset over Zeebrugge, which specializes in semantic segmentation. Therefore, we built a new, more challenging dataset for vehicle instance segmentation, called the Busy Parking Lot UAV Video dataset, and we make our dataset available at http://www.sipeo.bgu.tum.de/download so that it can be used to benchmark future vehicle instance segmentation algorithms.",,IEEE Transactions On Geoscience and Remote Sensing,"@article{mou2018vehicle,
  title={Vehicle Instance Segmentation from Aerial Image and Video Using a Multi-Task Learning Residual Fully Convolutional Network},
  author={Lichao Mou and Xiao Xiang Zhu},
  journal={arXiv preprint arXiv:1805.10485v1},
  year={2018},
  url={http://arxiv.org/abs/1805.10485v1}
}","Lichao Mou, Xiao Xiang Zhu",OD;SEG
Method,Robotics,,2018-07-31,7,2018,,WeedMap: A large-scale semantic weed mapping framework using aerial multispectral imaging and deep neural network for precision farming,,http://arxiv.org/abs/1808.00100v2,"We present a novel weed segmentation and mapping framework that processes multispectral images obtained from an unmanned aerial vehicle (UAV) using a deep neural network (DNN). Most studies on crop/weed semantic segmentation only consider single images for processing and classification. Images taken by UAVs often cover only a few hundred square meters with either color only or color and near-infrared (NIR) channels. Computing a single large and accurate vegetation map (e.g., crop/weed) using a DNN is non-trivial due to difficulties arising from: (1) limited ground sample distances (GSDs) in high-altitude datasets, (2) sacrificed resolution resulting from downsampling high-fidelity images, and (3) multispectral image alignment. To address these issues, we adopt a stand sliding window approach that operates on only small portions of multispectral orthomosaic maps (tiles), which are channel-wise aligned and calibrated radiometrically across the entire map. We define the tile size to be the same as that of the DNN input to avoid resolution loss. Compared to our baseline model (i.e., SegNet with 3 channel RGB inputs) yielding an area under the curve (AUC) of [background=0.607, crop=0.681, weed=0.576], our proposed model with 9 input channels achieves [0.839, 0.863, 0.782]. Additionally, we provide an extensive analysis of 20 trained models, both qualitatively and quantitatively, in order to evaluate the effects of varying input channels and tunable network hyperparameters. Furthermore, we release a large sugar beet/weed aerial dataset with expertly guided annotations for further research in the fields of remote sensing, precision agriculture, and agricultural robotics.",,"25 pages, 14 figures","@article{sa2018weedmap,
  title={WeedMap: A large-scale semantic weed mapping framework using aerial multispectral imaging and deep neural network for precision farming},
  author={Inkyu Sa and Marija Popovic and Raghav Khanna and Zetao Chen and Philipp Lottes and Frank Liebisch and Juan Nieto and Cyrill Stachniss and Achim Walter and Roland Siegwart},
  journal={arXiv preprint arXiv:1808.00100v2},
  year={2018},
  url={http://arxiv.org/abs/1808.00100v2}
}","Inkyu Sa, Marija Popovic, Raghav Khanna, Zetao Chen, Philipp Lottes, Frank Liebisch, Juan Nieto, Cyrill Stachniss, Achim Walter, Roland Siegwart",CLS;SEG
