Category,Type,Subtype,Date,Month,Year,Institute,Title,abbr.,Paper_link,Abstract,code,Publication,BibTex,Authors
Method,physics.data-an,Atmospheric and Oceanic Physics; Geophysics,2004-02-19,2,2004,,Bayesian Estimation for Land Surface Temperature Retrieval: The Nuisance of Emissivities,,http://arxiv.org/abs/physics/0402099v3,"An approach to the remote sensing of land surface temperature is developed using the methods of Bayesian inference. The starting point is the maximum entropy estimate for the posterior distribution of radiance in multiple bands. In order to convert this quantity to an estimator for surface temperature and emissivity with Bayes' theorem, it is necessary to obtain the joint prior probability for surface temperature and emissivity, given available prior knowledge. The requirement that any pair of distinct observers be able to relate their descriptions of radiance under arbitrary Lorentz transformations uniquely determines the prior probability. Perhaps surprisingly, surface temperature acts as a scale parameter, while emissivity acts as a location parameter, giving the prior probability P(T,emissivity|K)=const./T dT d(emissivity). Given this result, it is a simple matter to construct estimators for surface temperature and emssivity. Monte Carlo simulations of land surface temeprature retrieval in selected MODIS bands are presented as examples of the utility of the approach.",,"Table 3 has been replaced, and the discussion in Section IV has been revised, to reflect corrected Monte Carlo simulations. Text revised and corrected in light of comments by referees, others","@article{morgan2004bayesian,
  title={Bayesian Estimation for Land Surface Temperature Retrieval: The Nuisance of Emissivities},
  author={J. A. Morgan},
  journal={arXiv preprint arXiv:physics/0402099v3},
  year={2004},
  url={http://arxiv.org/abs/physics/0402099v3}
}",J. A. Morgan
Method,Atmospheric and Oceanic Physics,physics.space-ph,2007-06-05,6,2007,,Altitude and Latitude Distribution of Atmospheric Aerosol and Water Vapor from the Narrow-Band Lunar Eclipse Photometry,,http://arxiv.org/abs/0706.0660v2,"The work contains the description of two narrow IR-bands observational data of total lunar eclipse of March, 3, 2007, one- and two-dimensional procedures of radiative transfer equation solution. The results of the procedure are the extinction values for atmospheric aerosol and water vapor at different altitudes in the troposphere along the Earth's terminator crossing North America, Arctic, Siberia and South-Eastern Asia. The altitude range and possible latitude and altitude resoltion of atmosphere remote sensing by the lunar eclipses observation are fixed. The results of water vapor retrieval are compared with data of space experiment, the scale of vertical water vapor distribution is found.",,"12 pages, 7 figures","@article{ugolnikov2007altitude,
  title={Altitude and Latitude Distribution of Atmospheric Aerosol and Water Vapor from the Narrow-Band Lunar Eclipse Photometry},
  author={Oleg S. Ugolnikov and Igor A. Maslov},
  journal={arXiv preprint arXiv:0706.0660v2},
  year={2007},
  url={http://arxiv.org/abs/0706.0660v2}
}","Oleg S. Ugolnikov, Igor A. Maslov"
Method,astro-ph,,2007-06-27,6,2007,,"Lunar Outgassing, Transient Phenomena and The Return to The Moon, III: Observational and Experimental Techniques",,http://arxiv.org/abs/0706.3954v1,"In Papers II and III we show that Transient Lunar Phenomena (TLPs) are likely related to lunar outgassing, albeit in ways not fully understood. Here we propose a path forward, in which current and forthcoming technologies provide a more controlled, sensitive probe of lunar outgassing. Many of these techniques are being realized for the first time. Given the optical transient/outgassing connection, progress can be made by remote sensing, and we suggest programs of imaging, spectroscopy and combinations thereof. However, as found in Paper II, many aspects of lunar outgassing seem covert in nature. TLPs betray outgassing, but not all outgassing produces TLPs. Some outgassing may never appear at the surface, but remain trapped in the regolith. We also suggest more intrusive techniques, from radar mapping to in-situ probes. Understanding these volatiles seems promising in terms of a resource for humans on the Moon and beyond, and offers an interesting scientific goal in its own right. Hence this paper is a series of proposed techniques, some in practice, some which might be soon, and some requiring significant future investment, some of which may prove unwise pending results from predecessor investigations. These point towards enhancement of our knowledge of lunar outgassing, its relation to other lunar processes, and an increase in our understanding of how volatiles are involved in the evolution of the Moon. We emphasize certain ground-based observations in time for flights of SELENE, LRO and other robotic missions, and others before extensive human xploration. We discuss how study of the pristine lunar atmosphere pertains to understanding the role of anthropogenic volatiles, an important confusing signal",,"33 pages, 4 figures","@article{crotts2007lunar,
  title={Lunar Outgassing, Transient Phenomena and The Return to The Moon, III: Observational and Experimental Techniques},
  author={Arlin P. S. Crotts},
  journal={arXiv preprint arXiv:0706.3954v1},
  year={2007},
  url={http://arxiv.org/abs/0706.3954v1}
}",Arlin P. S. Crotts
Method,Geophysics,,2008-05-13,5,2008,,Soil Moisture Monitorization Using GNSS Reflected Signals,,http://arxiv.org/abs/0805.1881v2,"The use of GNSS signals as a source of opportunity for remote sensing applications, GNSS-R, has been a research area of interest for more than a decade. One of the possible applications of this technique is soil moisture monitoring. The retrieval of soil moisture with GNSS-R systems is based on the variability of the ground dielectric properties associated to soil moisture. Higher concentrations of water in the soil yield a higher dielectric constant and reflectivity, which incurs in signals that reflect from the Earth surface with higher peak power. Previous investigations have demonstrated the capability of GPS bistatic scatterometers to obtain high enough signal to noise ratios in order to sense small changes in surface reflectivity. Furthermore, these systems present some advantages with respect to others currently used to retrieve soil moisture. Upcoming satellite navigation systems, such as the European Galileo, will represent an excellent source of opportunity for soil moisture remote sensing for various reasons. First, the existence of pilot signals will provide the possibility to extend coherent integration times, which will contribute to the increase of received signals SNR. In addition, the availability of Galileo L1 and L5 signals will allow the multi-spectral analysis of the reflected signals and the development of inversion models which will be able to account more precisely for adverse effects, such as surface roughness and vegetation canopy. In this paper we present some of the recent theoretical work and experiments carried out at Starlab focusing on the development of dedicated Soil Moisture GNSS-R systems.",,"7 pages, Conference: 1ST Colloquium Scientific and Fundamental Aspects of the Galileo Programme","@article{egido2008soil,
  title={Soil Moisture Monitorization Using GNSS Reflected Signals},
  author={Alejandro Egido and Giulio Ruffini and Marco Caparrini and Cristina Martin and Esteve Farres and Xavier Banque},
  journal={arXiv preprint arXiv:0805.1881v2},
  year={2008},
  url={http://arxiv.org/abs/0805.1881v2}
}","Alejandro Egido, Giulio Ruffini, Marco Caparrini, Cristina Martin, Esteve Farres, Xavier Banque"
Method,Information Retrieval,Multimedia,2009-08-27,8,2009,,Retrieval of Remote Sensing Images Using Colour and Texture Attribute,,http://arxiv.org/abs/0908.4074v1,"Grouping images into semantically meaningful categories using low-level visual feature is a challenging and important problem in content-based image retrieval. The groupings can be used to build effective indices for an image database. Digital image analysis techniques are being used widely in remote sensing assuming that each terrain surface category is characterized with spectral signature observed by remote sensors. Even with the remote sensing images of IRS data, integration of spatial information is expected to assist and to improve the image analysis of remote sensing data. In this paper we present a satellite image retrieval based on a mixture of old fashioned ideas and state of the art learning tools. We have developed a methodology to classify remote sensing images using HSV color features and Haar wavelet texture features and then grouping them on the basis of particular threshold value. The experimental results indicate that the use of color and texture feature extraction is very useful for image retrieval.",,"5 pages IEEE format, International Journal of Computer Science and Information Security, IJCSIS 2009, ISSN 1947 5500, Impact Factor 0.423, http://sites.google.com/site/ijcsis/","@article{maheswary2009retrieval,
  title={Retrieval of Remote Sensing Images Using Colour and Texture Attribute},
  author={Priti Maheswary and Namita Srivastava},
  journal={arXiv preprint arXiv:0908.4074v1},
  year={2009},
  url={http://arxiv.org/abs/0908.4074v1}
}","Priti Maheswary, Namita Srivastava"
Method,astro-ph.EP,Atmospheric and Oceanic Physics; Geophysics,2010-03-05,3,2010,,Tropospheric ozone columns and ozone profiles for Kiev in 2007,,http://arxiv.org/abs/1003.1211v2,"We report on ground-based FTIR observations being performed within the framework of the ESA-NIVR-KNMI project 2907 entitled ""OMI validation by ground based remote sensing: ozone columns and atmospheric profiles"" for the purpose of OMI data validation. FTIR observations were performed during the time frames August-October 2005, June-October 2006 and March-October 2007, mostly under cloud free and clear sky conditions and in some days from early morning to sunset covering the full range of solar zenith angles possible. Ozone column and ozone profile data were obtained for the year 2005 using spectral modeling of the ozone spectral band profile near 9.6 microns with the MODTRAN3 band model based on the HITRAN-96 molecular absorption database. The total ozone column values retrieved from FTIR observations are biased low with respect to OMI-DOAS data by 8-10 DU on average, where they have a relatively small standard error of about 2%. FTIR observations for the year 2006 were simulated by MODTRAN4 modeling. For the retrieval of ozone column estimates and particularly ozone profiles from our FTIR observations, we used the following data sources to as input files to construct the (a priori) information for the model: satellite Aqua-AIRS water vapor and temperature profiles; Aura-MLS stratospheric ozone profiles (version 1.5), TEMIS climatological ozone profiles and the simultaneously performed surface ozone measurements. Ozone total columns obtained from our FTIR observations for year 2006 with MODTRAN4 modeling are matching rather well with OMI-TOMS and OMI-DOAS data where standard errors are 0.68% and 1.11%, respectively. AURA-MLS data which have become available in 2007 allow us to retrieve tropospheric ozone profiles.",,"13 pages, 6 figures","@article{shavrina2010tropospheric,
  title={Tropospheric ozone columns and ozone profiles for Kiev in 2007},
  author={A. V. Shavrina and Ya. V. Pavlenko and A. A. Veles and V. A. Sheminova and I. I. Synyavski and M. G. Sosonkin and Ya. O. Romanyuk and N. A. Eremenko and Yu. S. Ivanov and O. A. Monsar and M. Kroon},
  journal={arXiv preprint arXiv:1003.1211v2},
  year={2010},
  url={http://arxiv.org/abs/1003.1211v2}
}","A. V. Shavrina, Ya. V. Pavlenko, A. A. Veles, V. A. Sheminova, I. I. Synyavski, M. G. Sosonkin, Ya. O. Romanyuk, N. A. Eremenko, Yu. S. Ivanov, O. A. Monsar, M. Kroon"
Method,Atmospheric and Oceanic Physics,astro-ph.EP; physics.data-an,2010-09-08,9,2010,,A retrieval strategy for interactive ensemble data assimilation,,http://arxiv.org/abs/1009.1561v2,"As an alternative to either directly assimilating radiances or the naive use of retrieved profiles (of temperature, humidity, aerosols, and chemical species), a strategy is described that makes use of the so-called averaging kernel (AK) and other information from the retrieval process. This AK approach has the potential to improve the use of remotely sensed observations of the atmosphere. First, we show how to use the AK and the retrieval noise covariance to transform the retrieved quantities into observations that are unbiased and have uncorrelated errors, and to eliminate both the smoothing inherent in the retrieval process and the effect of the prior. Since the effect of the prior is removed, any prior, including the forecast from the data assimilation cycle can be used. Then we show how to transform this result into EOF space, when a truncated EOF series has been used in the retrieval process. This provides a degree of data compression and eliminates those transformed variables that have very small information content. In both approaches a vertical interpolation from the dynamical model coordinate to the radiative transfer coordinate is required. We define an algorithm using the EOF representation to optimize this vertical interpolation",,Revision adds more detail and clarity,"@article{hoffman2010a,
  title={A retrieval strategy for interactive ensemble data assimilation},
  author={Ross N. Hoffman},
  journal={arXiv preprint arXiv:1009.1561v2},
  year={2010},
  url={http://arxiv.org/abs/1009.1561v2}
}",Ross N. Hoffman
Method,astro-ph.IM,Atmospheric and Oceanic Physics,2010-12-21,12,2010,,A Minimized Mutual Information retrieval for simultaneous atmospheric pressure and temperature,,http://arxiv.org/abs/1012.4792v1,"The primary focus of the Mars Trace Gas Orbiter (TGO) collaboration between NASA and ESA is the detection of the temporal and spatial variation of the atmospheric trace gases using a solar occultation Fourier transform spectrometer. To retrieve any trace gas mixing ratios from these measurements, the atmospheric pressure and temperature have to be known accurately. Thus, a prototype retrieval model for the determination of pressure and temperature from a broadband high resolution infrared Fourier Transform spectrometer experiment with the Sun as a source on board a spacecraft orbiting the planet Mars is presented. It is found that the pressure and temperature can be uniquely solved from remote sensing spectroscopic measurements using a Regularized Total Least Squares method and selected pairs of micro-windows without any a-priori information of the state space parameters and other constraints.   The selection of the pairs of suitable micro-windows is based on the information content analysis. A comparative information content calculation using Bayes theory and a hyperspace formulation are presented to understand the information available in measurement. A method of minimization of mutual information is used to search the suitable micro-windows for a simultaneous pressure and temperature retrieval.",,,"@article{koner2010a,
  title={A Minimized Mutual Information retrieval for simultaneous atmospheric pressure and temperature},
  author={Prabhat K. Koner and James R. Drummond},
  journal={arXiv preprint arXiv:1012.4792v1},
  year={2010},
  url={http://arxiv.org/abs/1012.4792v1}
}","Prabhat K. Koner, James R. Drummond"
Method,stat.AP,,2011-07-18,7,2011,,A Hierarchical Bayesian Approach for Aerosol Retrieval Using MISR Data,,http://arxiv.org/abs/1107.3351v2,"Atmospheric aerosols can cause serious damage to human health and life expectancy. Using the radiances observed by NASA's Multi-angle Imaging SpectroRadiometer (MISR), the current MISR operational algorithm retrieves Aerosol Optical Depth (AOD) at a spatial resolution of 17.6 km x 17.6 km. A systematic study of aerosols and their impact on public health, especially in highly-populated urban areas, requires a finer-resolution estimate of the spatial distribution of AOD values.   We embed MISR's operational weighted least squares criterion and its forward simulations for AOD retrieval in a likelihood framework and further expand it into a Bayesian hierarchical model to adapt to a finer spatial scale of 4.4 km x 4.4 km. To take advantage of AOD's spatial smoothness, our method borrows strength from data at neighboring pixels by postulating a Gaussian Markov Random Field prior for AOD. Our model considers both AOD and aerosol mixing vectors as continuous variables. The inference of AOD and mixing vectors is carried out using Metropolis-within-Gibbs sampling methods. Retrieval uncertainties are quantified by posterior variabilities. We also implement a parallel MCMC algorithm to reduce computational cost. We assess our retrievals performance using ground-based measurements from the AErosol RObotic NETwork (AERONET), a hand-held sunphotometer and satellite images from Google Earth.   Based on case studies in the greater Beijing area, China, we show that a 4.4 km resolution can improve the accuracy and coverage of remotely-sensed aerosol retrievals, as well as our understanding of the spatial and seasonal behaviors of aerosols. This improvement is particularly important during high-AOD events, which often indicate severe air pollution.",,"39 pages, 15 figures","@article{wang2011a,
  title={A Hierarchical Bayesian Approach for Aerosol Retrieval Using MISR Data},
  author={Yueqing Wang and Xin Jiang and Bin Yu and Ming Jiang},
  journal={arXiv preprint arXiv:1107.3351v2},
  year={2011},
  url={http://arxiv.org/abs/1107.3351v2}
}","Yueqing Wang, Xin Jiang, Bin Yu, Ming Jiang"
Method,Computer Vision,,2011-08-12,8,2011,,The Statistical methods of Pixel-Based Image Fusion Techniques,,http://arxiv.org/abs/1108.3250v1,"There are many image fusion methods that can be used to produce high-resolution mutlispectral images from a high-resolution panchromatic (PAN) image and low-resolution multispectral (MS) of remote sensed images. This paper attempts to undertake the study of image fusion techniques with different Statistical techniques for image fusion as Local Mean Matching (LMM), Local Mean and Variance Matching (LMVM), Regression variable substitution (RVS), Local Correlation Modeling (LCM) and they are compared with one another so as to choose the best technique, that can be applied on multi-resolution satellite images. This paper also devotes to concentrate on the analytical techniques for evaluating the quality of image fusion (F) by using various methods including Standard Deviation (SD), Entropy(En), Correlation Coefficient (CC), Signal-to Noise Ratio (SNR), Normalization Root Mean Square Error (NRMSE) and Deviation Index (DI) to estimate the quality and degree of information improvement of a fused image quantitatively.",,"Keywords: Data Fusion, Resolution Enhancement, Statistical fusion, Correlation Modeling, Matching, pixel based fusion","@article{alwassai2011the,
  title={The Statistical methods of Pixel-Based Image Fusion Techniques},
  author={Firouz Abdullah Al-Wassai and N. V. Kalyankar and Ali A. Al-Zaky},
  journal={arXiv preprint arXiv:1108.3250v1},
  year={2011},
  url={http://arxiv.org/abs/1108.3250v1}
}","Firouz Abdullah Al-Wassai, N. V. Kalyankar, Ali A. Al-Zaky"
